"","ID","X","Y","reg.vis"
"146","SEAK_1",-139.431083,59.952417,"Southeast AK"
"147","SEAK_1",-139.431056,59.955777,"Southeast AK"
"148","SEAK_1",-139.437667,59.961611,"Southeast AK"
"149","SEAK_1",-139.441,59.968278,"Southeast AK"
"150","SEAK_1",-139.452667,59.976611,"Southeast AK"
"151","SEAK_1",-139.451028,59.98075,"Southeast AK"
"152","SEAK_1",-139.460194,59.983667,"Southeast AK"
"153","SEAK_1",-139.474278,59.991583,"Southeast AK"
"154","SEAK_1",-139.475194,59.994499,"Southeast AK"
"155","SEAK_1",-139.486861,59.995306,"Southeast AK"
"156","SEAK_1",-139.496833,59.992,"Southeast AK"
"157","SEAK_1",-139.505167,59.991194,"Southeast AK"
"158","SEAK_1",-139.51275,59.987389,"Southeast AK"
"159","SEAK_1",-139.512639,59.984083,"Southeast AK"
"160","SEAK_1",-139.507667,59.980778,"Southeast AK"
"161","SEAK_1",-139.517694,59.968222,"Southeast AK"
"162","SEAK_1",-139.524389,59.96575,"Southeast AK"
"163","SEAK_1",-139.52425,59.960778,"Southeast AK"
"164","SEAK_1",-139.52775,59.957443,"Southeast AK"
"165","SEAK_1",-139.526,59.952417,"Southeast AK"
"166","SEAK_1",-139.539389,59.939916,"Southeast AK"
"167","SEAK_1",-139.539389,59.935806,"Southeast AK"
"168","SEAK_1",-139.548528,59.931166,"Southeast AK"
"169","SEAK_1",-139.560111,59.929528,"Southeast AK"
"170","SEAK_1",-139.575111,59.921194,"Southeast AK"
"171","SEAK_1",-139.586083,59.917443,"Southeast AK"
"172","SEAK_1",-139.593528,59.911972,"Southeast AK"
"173","SEAK_1",-139.596833,59.912028,"Southeast AK"
"174","SEAK_1",-139.605167,59.907833,"Southeast AK"
"175","SEAK_1",-139.631,59.904111,"Southeast AK"
"176","SEAK_1",-139.635944,59.899944,"Southeast AK"
"177","SEAK_1",-139.636056,59.886582,"Southeast AK"
"178","SEAK_1",-139.641,59.874111,"Southeast AK"
"179","SEAK_1",-139.634389,59.868278,"Southeast AK"
"180","SEAK_1",-139.631,59.854082,"Southeast AK"
"181","SEAK_1",-139.622611,59.840778,"Southeast AK"
"182","SEAK_1",-139.602639,59.825806,"Southeast AK"
"183","SEAK_1",-139.596028,59.81825,"Southeast AK"
"184","SEAK_1",-139.602667,59.808222,"Southeast AK"
"185","SEAK_1",-139.602667,59.80075,"Southeast AK"
"186","SEAK_1",-139.587667,59.785778,"Southeast AK"
"187","SEAK_1",-139.585944,59.778278,"Southeast AK"
"188","SEAK_1",-139.571056,59.769917,"Southeast AK"
"189","SEAK_1",-139.566,59.758278,"Southeast AK"
"190","SEAK_1",-139.555972,59.749111,"Southeast AK"
"191","SEAK_1",-139.549333,59.745777,"Southeast AK"
"192","SEAK_1",-139.547639,59.738277,"Southeast AK"
"193","SEAK_1",-139.515222,59.723667,"Southeast AK"
"194","SEAK_1",-139.510139,59.72286,"Southeast AK"
"195","SEAK_1",-139.501806,59.714499,"Southeast AK"
"196","SEAK_1",-139.491806,59.713694,"Southeast AK"
"197","SEAK_1",-139.484333,59.709056,"Southeast AK"
"198","SEAK_1",-139.485972,59.705777,"Southeast AK"
"199","SEAK_1",-139.483417,59.704527,"Southeast AK"
"200","SEAK_1",-139.478556,59.705332,"Southeast AK"
"201","SEAK_1",-139.472667,59.703278,"Southeast AK"
