reg,long,lat
BS,-170.4376639,56.6799578
BS,-170.412003,56.67188431
BS,-170.1768047,56.52010257
BS,-169.8460349,56.31440058
BS,-169.5622778,56.08160556
BS,-168.9993303,55.77208758
BS,-168.0589338,55.44833799
BS,-167.2346168,55.13853523
BS,-166.5342859,54.95920948
BS,-165.9447585,54.86896409
BS,-165.3327398,54.72378266
BS,-165.2377809,54.51330838
BS,-164.9898346,54.47835762
BS,-164.7780039,54.48050133
BS,-164.633463,54.51354283
BS,-164.340818,54.70335036
CH,-167.4531748,65.65404168
CH,-167.3936388,65.69491882
CH,-167.1668498,65.77443149
CH,-166.6100928,65.92548095
CH,-166.1149013,66.02298468
CH,-165.6809498,66.14289977
CH,-165.2165956,66.21700393
CH,-164.8771571,66.27457194
CH,-164.6418493,66.26093141
CH,-164.4732818,66.23581154
CH,-164.3445095,66.15137232
CH,-164.1311205,66.07199589
CH,-163.886182,65.92347519
CH,-163.5180465,65.91269311
CH,-162.8778027,65.88716332
CH,-162.3756285,65.88415502
CH,-162.0601739,65.89915483
CH,-161.6620255,65.86424902
CH,-161.3555924,65.91616521
CH,-161.0215443,66.00378854
CH,-160.750904,66.15174654
CH,-160.7717447,66.25070087
CH,-160.9080345,66.36809163
CH,-160.9278128,66.45043908
CH,-161.0365285,66.59763343
CH,-161.1451182,66.64224468
CH,-161.352409,66.73642024
CH,-161.3031946,66.83076137
CH,-161.2879459,66.96248772
CH,-161.3594159,67.04702227
CH,-161.6240756,67.10915338
CH,-161.9527572,67.12928628
CH,-162.373638,67.16390113
CH,-162.8248404,67.17161395
CH,-163.090576,67.18264643
CH,-163.3336518,67.19926706
CH,-163.4567326,67.26566344
CH,-163.60026,67.4231255
CH,-163.7248958,67.52320203
CH,-163.8701677,67.64146922
CH,-164.0508443,67.71400703
CH,-164.2760071,67.79844123
CH,-164.5456848,67.86064513
CH,-164.7909469,67.95311891
CH,-165.1670635,68.10063912
CH,-165.3411649,68.16778923
CH,-165.5567798,68.20787351
CH,-165.6963453,68.25262693
CH,-165.8584493,68.31537917
CH,-165.9229091,68.39417176
CH,-165.8804237,68.49939694
CH,-165.8414871,68.58485269
CH,-165.8508037,68.68679079
CH,-165.9119541,68.75620381
CH,-165.9940468,68.89565367
CH,-166.2183808,68.9829638
CH,-166.5079385,68.9696943
CH,-166.7317951,68.88853137
CH,-166.8495485,68.77703602
CH,-166.9829427,68.68630401
CH,-167.3030086,68.60851114
CH,-167.7872518,68.49589655
CH,-167.9587503,68.32017
CH,-167.6987734,68.18921884
CH,-167.2358009,68.08224567
CH,-166.8601517,67.96272593
CH,-166.4028737,67.8019346
CH,-165.6779423,67.6059085
CH,-165.0888845,67.46367124
CH,-164.857566,67.3709415
CH,-164.7212458,67.174101
CH,-164.4410059,67.0497164
CH,-164.1632702,66.94555871
CH,-163.6615732,66.89684808
CH,-163.5198953,66.8025468
CH,-164.1254879,66.82611806
CH,-164.5969773,66.82389106
CH,-165.1788017,66.77859132
CH,-165.922483,66.65415672
CH,-166.9713135,66.35964758
CH,-167.5640628,66.19195342
CH,-167.888534,66.09062021
CH,-168.1638355,66.02103207
CH,-168.3175598,65.91737346
CH,-168.4349054,65.83539831
CH,-168.5315996,65.70118993
CH,-168.2488612,65.65568678
CH,-168.1592104,65.65337707
CH,-168.0390706,65.65686701
CH,-167.9360141,65.64989202
CH,-167.8015623,65.65261943
CH,-167.715323,65.64715279
CH,-167.4531748,65.65404168
GOA,-145.6190667,60.47939655
GOA,-145.4795757,60.54407531
GOA,-145.3756454,60.63084396
GOA,-145.4427881,60.70358552
GOA,-145.6678308,60.77523317
